mask_ratio,num_masked,num_visible,avg_accuracy_inter,std_accuracy_inter,avg_mse_inter,avg_accuracy_intra,std_accuracy_intra,avg_mse_intra,avg_accuracy_random,std_accuracy_random,avg_mse_random
0.59,36,25,0.820178622752428,0.033011386473890195,0.17982137724757194,0.855221391916275,0.048132310507719614,0.14477860808372497,0.8831496968120337,0.042222519370320434,0.11685030318796635
0.6,37,24,0.8228486458957195,0.028955933182486734,0.17715135410428048,0.8438304229080678,0.05449627771330208,0.1561695770919323,0.8715686166286468,0.043797864968793496,0.12843138337135315
0.61,37,24,0.8287743644416332,0.028885237622650044,0.17122563555836678,0.8430063618719578,0.051402074777884374,0.15699363812804223,0.8728057377785444,0.04585905998515123,0.12719426222145558
0.62,38,23,0.8209471654891968,0.036343226663050364,0.17905283451080323,0.8367032477259636,0.05812912946603856,0.1632967522740364,0.8724863446503878,0.04688061337139978,0.12751365534961223
0.63,38,23,0.8208746045827866,0.04228655058511045,0.17912539541721345,0.8408982852101325,0.05216981821397815,0.1591017147898674,0.8718905490636826,0.041380556623505066,0.12810945093631745
0.64,39,22,0.8277092778682709,0.029525887940570057,0.17229072213172913,0.8579171159863472,0.0424512891924996,0.1420828840136528,0.8714849393069745,0.03876087848522507,0.1285150606930256
0.65,40,21,0.8164442719519138,0.03731103159877745,0.18355572804808618,0.8488368648290634,0.042283702585318154,0.15116313517093657,0.8605269354581833,0.03888915138965623,0.1394730645418167
0.66,40,21,0.811128307878971,0.032259480194868864,0.1888716921210289,0.8496958687901497,0.04367363880717928,0.1503041312098503,0.8625784173607827,0.039892753986026326,0.1374215826392174
0.67,41,20,0.8138258472084999,0.02926807739234081,0.1861741527915001,0.856817914545536,0.04484373711441711,0.14318208545446395,0.8690656818449497,0.0342008636111056,0.13093431815505027
0.68,41,20,0.8203140616416931,0.026710451754253815,0.17968593835830687,0.8573641306161881,0.04297633258834975,0.14263586938381195,0.8712502384185791,0.036057055312872344,0.1287497615814209
0.69,42,19,0.8041152073442936,0.04774121518370652,0.1958847926557064,0.828465423732996,0.05762867400273147,0.17153457626700402,0.8580643808841706,0.04922593086205947,0.14193561911582947
