cluster,target_sensor,target_sensor_id,cluster_size,num_mates_visible,total_visible,avg_mse_intra,std_mse_intra,avg_acc_intra,std_acc_intra,avg_1mse_intra,avg_mse_inter,std_mse_inter,avg_acc_inter,std_acc_inter,avg_1mse_inter,mse_reduction_pct,acc_delta
Cluster_6,S58,58,6,5,18,0.0024237966537475585,0.0018498359163474953,0.9929147651279345,0.002633902211444388,0.9975762033462524,0.004318270271178335,0.006663643944289898,0.9912219397304579,0.003977690320608687,0.9956817297288216,43.871111805206894,0.001692825397476616
Cluster_6,S59,59,6,5,18,0.38830977499485014,0.27053893367697374,0.953845354244113,0.013742118135716592,0.6116902250051499,0.3183860097825527,0.19789809284567952,0.9554461656138301,0.010872330709199341,0.6816139902174473,-21.961946456263455,-0.0016008113697171256
Cluster_7,S0,0,3,2,18,0.014037300711497664,0.011447296106953291,0.9585619131475687,0.020195723541976608,0.9859626992885023,0.04975585460197181,0.10190640307201956,0.9398236700892448,0.04477758738207973,0.9502441453980282,71.78763877805497,0.018738243058323834
Cluster_7,S7,7,3,2,18,0.16297890455462039,0.12224307486345666,0.8996514644846321,0.05318386902892644,0.8370210954453796,0.28924134708940985,0.2765304567293911,0.8659919673576951,0.08136649981867072,0.7107586529105901,43.65297125352887,0.033659497126936944
Cluster_7,S13,13,3,2,18,0.005182591652264819,0.01378112065027964,0.9919015091005713,0.005784720051256798,0.9948174083477351,0.011492501830216497,0.025211480471489585,0.9889315618295222,0.008057444034745441,0.9885074981697834,54.904577977230836,0.002969947271049045
Cluster_8,S22,22,3,2,18,0.07308907307684422,0.0643524863166988,0.8983253389596939,0.03965451375061174,0.9269109269231558,0.0764747148193419,0.08088745591109163,0.9009887876361609,0.050070314831926734,0.9235252851806581,4.4271387035888665,-0.0026634486764669507
Cluster_8,S24,24,3,2,18,0.16052053801715374,0.07903314657741316,0.8366275765001774,0.03924373365036644,0.8394794619828463,0.1610391538590193,0.09490714721579083,0.8388259761035443,0.046939146298171947,0.8389608461409808,0.3220433206567487,-0.002198399603366874
Cluster_8,S48,48,3,2,18,0.0037470126803964376,0.0015062914754651114,0.9928254116605967,0.0016498113731562294,0.9962529873196035,0.003887578296707943,0.0016957903550996088,0.9927293293736875,0.0018744753221031445,0.9961124217032921,3.6157620355303957,9.608228690916043e-05
Cluster_9,S3,3,5,4,18,0.012438852414488792,0.0071804411239817685,0.9858971892297268,0.004001006962373049,0.9875611475855112,0.015335197458043695,0.014174803057782792,0.9850996945612133,0.005588019547348637,0.9846648025419563,18.88690942917467,0.000797494668513532
Cluster_9,S23,23,5,4,18,0.0024627968890126796,0.0010776039408279929,-45.827998390197756,11.291422585713912,0.9975372031109874,0.0032454460323788226,0.001006550331254162,-53.68657745361328,9.230237184055579,0.9967545539676211,24.11529553734491,7.858579063415526
Cluster_9,S37,37,5,4,18,0.0029603165993466974,0.0011015556423985566,-51.254683837890624,9.834114037346728,0.9970396834006533,0.0028370679030194877,0.0009426089356569464,-49.76638439178467,9.338007926332878,0.9971629320969805,-4.344226401975516,-1.4882994461059553
Cluster_9,S50,50,5,4,18,0.005963762416504323,0.001910028363011876,0.9904547910019755,0.0016773089669238996,0.9940362375834957,0.004402437899261713,0.001991473153796447,0.9920007762731984,0.002040520719622116,0.9955975621007382,-35.46499004232502,-0.0015459852712228495
