antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'S16'}),frozenset({'S25'}),0.45714285714285713,0.6514285714285715,0.31,0.678125,1.0409813596491226,1.0,0.012204081632653074,1.0829403606102632,0.0725200097016736,0.38819320214669056,0.0765881147540982,0.577001096491228
frozenset({'S31'}),frozenset({'S16'}),0.62,0.45714285714285713,0.3,0.48387096774193544,1.0584677419354838,1.0,0.01657142857142857,1.0517857142857145,0.14536340852130325,0.3860294117647059,0.04923599320882847,0.5700604838709677
frozenset({'S16'}),frozenset({'S31'}),0.45714285714285713,0.62,0.3,0.65625,1.058467741935484,1.0,0.01657142857142857,1.1054545454545455,0.10175438596491226,0.3860294117647059,0.09539473684210527,0.5700604838709677
frozenset({'S37'}),frozenset({'S16'}),0.6442857142857142,0.45714285714285713,0.3,0.4656319290465632,1.018569844789357,1.0,0.005469387755102084,1.0158861885002963,0.05125262956588298,0.37433155080213903,0.015637764033142758,0.5609409645232816
frozenset({'S16'}),frozenset({'S37'}),0.45714285714285713,0.6442857142857142,0.3,0.65625,1.018569844789357,1.0,0.005469387755102084,1.0348051948051948,0.03358395989974964,0.37433155080213903,0.03363453815261057,0.5609409645232816
frozenset({'S42'}),frozenset({'S16'}),0.6771428571428572,0.45714285714285713,0.3157142857142857,0.46624472573839665,1.0199103375527427,1.0,0.00616326530612249,1.0170525127046868,0.06046530252672927,0.3856893542757417,0.016766600044414902,0.5784348628691983
frozenset({'S16'}),frozenset({'S42'}),0.45714285714285713,0.6771428571428572,0.3157142857142857,0.690625,1.0199103375527427,1.0,0.00616326530612249,1.0435786435786436,0.03596094308168635,0.3856893542757417,0.04175884955752222,0.5784348628691983
frozenset({'S16'}),frozenset({'S43'}),0.45714285714285713,0.6514285714285715,0.31,0.678125,1.0409813596491226,1.0,0.012204081632653074,1.0829403606102632,0.0725200097016736,0.38819320214669056,0.0765881147540982,0.577001096491228
frozenset({'S43'}),frozenset({'S16'}),0.6514285714285715,0.45714285714285713,0.31,0.4758771929824561,1.0409813596491229,1.0,0.012204081632653074,1.0357441721458458,0.11294099871572123,0.38819320214669056,0.03451061865189287,0.577001096491228
frozenset({'S16'}),frozenset({'S49'}),0.45714285714285713,0.67,0.30857142857142855,0.6749999999999999,1.007462686567164,1.0,0.00228571428571428,1.015384615384615,0.013645224171539924,0.3769633507853402,0.015151515151514831,0.567777185501066
frozenset({'S49'}),frozenset({'S16'}),0.67,0.45714285714285713,0.30857142857142855,0.46055437100213215,1.007462686567164,1.0,0.00228571428571428,1.0063241106719367,0.022446689113355726,0.3769633507853402,0.00628436763550661,0.567777185501066
frozenset({'S58'}),frozenset({'S16'}),0.6857142857142857,0.45714285714285713,0.32571428571428573,0.47500000000000003,1.0390625,1.0,0.01224489795918371,1.0340136054421771,0.11961722488038312,0.39860139860139865,0.032894736842105345,0.59375
frozenset({'S16'}),frozenset({'S58'}),0.45714285714285713,0.6857142857142857,0.32571428571428573,0.7125,1.0390625,1.0,0.01224489795918371,1.093167701863354,0.06925207756232706,0.39860139860139865,0.08522727272727278,0.59375
frozenset({'S17'}),frozenset({'S18'}),0.6671428571428571,0.6557142857142857,0.43857142857142856,0.6573875802997858,1.002551865380937,1.0,0.0011163265306122216,1.0048839285714286,0.0076470341530244035,0.4959612277867528,0.004860191742116589,0.6631164481019627
frozenset({'S18'}),frozenset({'S17'}),0.6557142857142857,0.6671428571428571,0.43857142857142856,0.6688453159041394,1.002551865380937,1.0,0.0011163265306122216,1.005140977443609,0.007393190695662597,0.4959612277867528,0.0051146829738094165,0.6631164481019627
frozenset({'S17'}),frozenset({'S22'}),0.6671428571428571,0.67,0.44857142857142857,0.6723768736616702,1.0035475726293586,1.0,0.0015857142857142459,1.0072549019607842,0.010620267351903728,0.5048231511254019,0.007202647459606561,0.6709432342721997
frozenset({'S22'}),frozenset({'S17'}),0.67,0.6671428571428571,0.44857142857142857,0.6695095948827292,1.0035475726293586,1.0,0.0015857142857142459,1.0071612903225806,0.010712217718586879,0.5048231511254019,0.007110370892319494,0.6709432342721997
frozenset({'S17'}),frozenset({'S32'}),0.6671428571428571,0.6085714285714285,0.40714285714285714,0.6102783725910064,1.0028048375908556,1.0,0.001138775510204082,1.0043799058084772,0.008402981703185004,0.46874999999999994,0.004360805889432405,0.6396462285490243
frozenset({'S32'}),frozenset({'S17'}),0.6085714285714285,0.6671428571428571,0.40714285714285714,0.6690140845070423,1.0028048375908556,1.0,0.001138775510204082,1.0056534954407295,0.007145601229350751,0.46874999999999994,0.005621713111285714,0.6396462285490243
frozenset({'S17'}),frozenset({'S33'}),0.6671428571428571,0.6085714285714285,0.40714285714285714,0.6102783725910064,1.0028048375908556,1.0,0.001138775510204082,1.0043799058084772,0.008402981703185004,0.46874999999999994,0.004360805889432405,0.6396462285490243
frozenset({'S33'}),frozenset({'S17'}),0.6085714285714285,0.6671428571428571,0.40714285714285714,0.6690140845070423,1.0028048375908556,1.0,0.001138775510204082,1.0056534954407295,0.007145601229350751,0.46874999999999994,0.005621713111285714,0.6396462285490243
frozenset({'S17'}),frozenset({'S36'}),0.6671428571428571,0.6171428571428571,0.4185714285714286,0.6274089935760172,1.0166349432944723,1.0,0.006848979591836779,1.0275533661740561,0.04915847602865168,0.4834983498349836,0.026814535459746526,0.652824867158379
frozenset({'S36'}),frozenset({'S17'}),0.6171428571428571,0.6671428571428571,0.4185714285714286,0.6782407407407408,1.0166349432944723,1.0,0.006848979591836779,1.034491264131552,0.042738525801029256,0.4834983498349836,0.03334128119535864,0.652824867158379
frozenset({'S17'}),frozenset({'S39'}),0.6671428571428571,0.6857142857142857,0.4657142857142857,0.6980728051391862,1.01802284082798,1.0,0.00824489795918365,1.040932117527862,0.05318728771162996,0.5249597423510467,0.03932256180650164,0.6886197359029265
frozenset({'S39'}),frozenset({'S17'}),0.6857142857142857,0.6671428571428571,0.4657142857142857,0.6791666666666666,1.01802284082798,1.0,0.00824489795918365,1.03747680890538,0.056330172894589914,0.5249597423510467,0.036123032904148526,0.6886197359029265
frozenset({'S17'}),frozenset({'S40'}),0.6671428571428571,0.63,0.42142857142857143,0.6316916488222698,1.0026851568607458,1.0,0.0011285714285714232,1.004593023255814,0.00804539172183018,0.4812398042414356,0.004572023843972426,0.6503129445925409
frozenset({'S40'}),frozenset({'S17'}),0.63,0.6671428571428571,0.42142857142857143,0.6689342403628118,1.0026851568607458,1.0,0.0011285714285714232,1.0054109589041096,0.007237746220797035,0.4812398042414356,0.005381837999863742,0.6503129445925409
frozenset({'S17'}),frozenset({'S47'}),0.6671428571428571,0.6757142857142857,0.45285714285714285,0.6788008565310493,1.0045678637880222,1.0,0.002059183673469356,1.009609523809524,0.01366079527761585,0.508828250401284,0.009518059787376605,0.6744955656862435
frozenset({'S47'}),frozenset({'S17'}),0.6757142857142857,0.6671428571428571,0.45285714285714285,0.6701902748414377,1.0045678637880222,1.0,0.002059183673469356,1.0092399267399268,0.01402187356689204,0.508828250401284,0.009155332141658225,0.6744955656862435
frozenset({'S17'}),frozenset({'S48'}),0.6671428571428571,0.6328571428571429,0.42857142857142855,0.6423982869379015,1.0150762999018759,1.0,0.006365306122448899,1.0266809238665524,0.044620886981401445,0.4918032786885246,0.025987551970937738,0.6597995949362193
frozenset({'S48'}),frozenset({'S17'}),0.6328571428571429,0.6671428571428571,0.42857142857142855,0.6772009029345372,1.0150762999018759,1.0,0.006365306122448899,1.0311588411588408,0.04045395590142622,0.4918032786885246,0.030217304953545108,0.6597995949362193
frozenset({'S17'}),frozenset({'S50'}),0.6671428571428571,0.6457142857142857,0.44285714285714284,0.6638115631691649,1.0280267571203883,1.0,0.01207346938775511,1.0538307552320292,0.08190502561262639,0.5090311986863711,0.05108102507425584,0.6748261355668833
frozenset({'S50'}),frozenset({'S17'}),0.6457142857142857,0.6671428571428571,0.44285714285714284,0.6858407079646017,1.028026757120388,1.0,0.01207346938775511,1.059517102615694,0.07695109261186268,0.5090311986863711,0.056173800752022336,0.6748261355668833
frozenset({'S17'}),frozenset({'S51'}),0.6671428571428571,0.61,0.40714285714285714,0.6102783725910064,1.0004563485098465,1.0,0.00018571428571428905,1.0007142857142857,0.0013703787365409478,0.46798029556650245,0.0007137758743753376,0.6388628396912877
frozenset({'S51'}),frozenset({'S17'}),0.61,0.6671428571428571,0.40714285714285714,0.667447306791569,1.0004563485098465,1.0,0.00018571428571428905,1.0009154929577464,0.0011695906432748749,0.46798029556650245,0.0009146555969885466,0.6388628396912877
frozenset({'S17'}),frozenset({'S53'}),0.6671428571428571,0.6185714285714285,0.4157142857142857,0.6231263383297644,1.007363595452275,1.0,0.0030387755102040948,1.0120860389610389,0.02196068020589069,0.47783251231527096,0.011941710976910427,0.6475908827907482
frozenset({'S53'}),frozenset({'S17'}),0.6185714285714285,0.6671428571428571,0.4157142857142857,0.6720554272517321,1.007363595452275,1.0,0.0030387755102040948,1.0149798792756537,0.019164189093530078,0.47783251231527096,0.014758794318508326,0.6475908827907482
frozenset({'S17'}),frozenset({'S58'}),0.6671428571428571,0.6857142857142857,0.46714285714285714,0.7002141327623126,1.0211456102783725,1.0,0.009673469387755096,1.0483673469387753,0.06221207229200295,0.5274193548387097,0.04613587697099459,0.6907320663811563
frozenset({'S58'}),frozenset({'S17'}),0.6857142857142857,0.6671428571428571,0.46714285714285714,0.68125,1.0211456102783727,1.0,0.009673469387755096,1.0442577030812326,0.06588824020016676,0.5274193548387097,0.04238197424892709,0.6907320663811563
frozenset({'S22'}),frozenset({'S18'}),0.67,0.6557142857142857,0.44142857142857145,0.6588486140724946,1.0047800214613207,1.0,0.0020999999999999908,1.0091875,0.014416004707266781,0.4991922455573507,0.009103858301851652,0.6660256142257899
