support,itemsets
0.4,"['S3', 'S43']"
0.39714285714285713,"['S44', 'S3']"
0.4,"['S45', 'S3']"
0.4014285714285714,"['S3', 'S46']"
0.4057142857142857,"['S47', 'S3']"
0.37142857142857144,"['S3', 'S48']"
0.41285714285714287,"['S3', 'S49']"
0.4014285714285714,"['S50', 'S3']"
0.3942857142857143,"['S3', 'S51']"
0.3842857142857143,"['S52', 'S3']"
0.3742857142857143,"['S53', 'S3']"
0.4085714285714286,"['S54', 'S3']"
0.3942857142857143,"['S3', 'S55']"
0.4114285714285714,"['S56', 'S3']"
0.40285714285714286,"['S57', 'S3']"
0.4228571428571429,"['S58', 'S3']"
0.3142857142857143,"['S59', 'S3']"
0.41285714285714287,"['S5', 'S4']"
0.4257142857142857,"['S6', 'S4']"
0.42428571428571427,"['S7', 'S4']"
0.42142857142857143,"['S8', 'S4']"
0.4185714285714286,"['S9', 'S4']"
0.43142857142857144,"['S10', 'S4']"
0.4471428571428571,"['S11', 'S4']"
0.42428571428571427,"['S12', 'S4']"
0.44,"['S13', 'S4']"
0.40285714285714286,"['S14', 'S4']"
0.39714285714285713,"['S15', 'S4']"
0.4357142857142857,"['S17', 'S4']"
0.42857142857142855,"['S18', 'S4']"
0.42714285714285716,"['S4', 'S21']"
0.4442857142857143,"['S22', 'S4']"
0.41,"['S23', 'S4']"
0.4228571428571429,"['S24', 'S4']"
0.45,"['S25', 'S4']"
0.3242857142857143,"['S4', 'S26']"
0.4228571428571429,"['S28', 'S4']"
0.3985714285714286,"['S31', 'S4']"
0.4,"['S4', 'S32']"
0.4057142857142857,"['S4', 'S33']"
0.32571428571428573,"['S34', 'S4']"
0.36714285714285716,"['S35', 'S4']"
0.41,"['S36', 'S4']"
0.4357142857142857,"['S37', 'S4']"
0.41,"['S38', 'S4']"
0.44285714285714284,"['S39', 'S4']"
0.4042857142857143,"['S40', 'S4']"
0.41714285714285715,"['S4', 'S41']"
0.44,"['S42', 'S4']"
0.42857142857142855,"['S4', 'S43']"
0.43142857142857144,"['S44', 'S4']"
